timestamp,portfolio_value,last_equity,cash,buying_power
2025-09-27T22:25:04Z,100127.30,100127.30,5.01,100132.31
2025-09-27T22:42:31Z,100127.30,100127.30,5.01,100132.31
2025-09-27T22:48:55Z,100127.30,100127.30,5.01,100132.31
2025-09-27T22:54:02Z,100127.30,100127.30,5.01,100132.31
2025-09-27T23:13:33Z,100127.30,100127.30,5.01,100132.31
2025-09-29T13:22:41Z,101573.50,100127.30,5.01,101578.51
2025-09-29T13:42:54Z,101888.73,100127.30,5.01,101893.74
2025-09-29T13:52:04Z,101634.23,100127.30,5.01,101639.24
2025-09-29T13:58:22Z,101540.83,100127.30,5.01,101545.84
2025-09-29T14:15:58Z,100947.02,100127.30,5.01,100952.03
2025-09-29T14:35:04Z,101490.77,100127.30,5.01,101495.78
2025-09-29T14:45:47Z,101207.92,100127.30,5.01,101212.93
2025-09-29T14:51:51Z,101166.00,100127.30,5.01,101171.01
2025-09-29T14:57:50Z,101187.03,100127.30,5.01,101192.04
2025-09-29T15:14:50Z,100989.65,100127.30,5.01,100994.66
2025-09-29T15:31:35Z,101222.26,100127.30,5.01,101227.27
